Model,imda_part3_30s_sqa_human_test,imda_part4_30s_sqa_human_test,imda_part5_30s_sqa_human_test,imda_part6_30s_sqa_human_test
Qwen-Audio-Chat,32.2,37.8,47.800000000000004,51.4
MERaLiON-AudioLLM-Whisper-SEA-LION,51.4,53.2,64.80000000000001,67.2
hy_whisper_local_cs,,,,
Qwen2-Audio-7B-Instruct,42.0,39.6,51.6,53.6
whisper_large_v3,,,,
old_models,,,,
cascade_whisper_large_v2_gemma2_9b_cpt_sea_lionv3_instruct,56.0,66.0,74.0,71.6
gemini-1.5-flash,,,,
WavLLM_fairseq,45.199999999999996,46.6,50.8,62.199999999999996
SALMONN_7B,40.599999999999994,36.6,44.6,46.8
cascade_whisper_large_v3_llama_3_8b_instruct,49.0,53.8,57.800000000000004,64.0
