Model,ytb_sqa_batch1,ytb_sds_batch1,ytb_pqa_batch1
Qwen-Audio-Chat,60.827586206896555,43.878954607977995,37.16117216117216
MERaLiON-AudioLLM-Whisper-SEA-LION,64.51231527093596,53.97524071526823,40.97069597069597
hy_whisper_local_cs,60.137931034482754,60.9353507565337,45.78754578754578
Qwen2-Audio-7B-Instruct,60.453201970443345,51.5818431911967,36.97802197802198
whisper_large_v3,,,
old_models,,,
cascade_whisper_large_v2_gemma2_9b_cpt_sea_lionv3_instruct,70.18719211822659,64.12654745529574,55.01831501831502
gemini-1.5-flash,78.06896551724138,65.9697386519945,49.908424908424905
WavLLM_fairseq,60.70935960591133,55.625859697386524,40.95238095238095
SALMONN_7B,55.665024630541865,31.279229711141674,32.124542124542124
cascade_whisper_large_v3_llama_3_8b_instruct,67.3103448275862,59.44979367262724,52.252747252747255
