Model,audiocaps_test,wavcaps_test
Qwen-Audio-Chat,0.27553015076950976,0.2355106805560457
MERaLiON-AudioLLM-Whisper-SEA-LION,0.24920047034353812,0.3175511907248581
hy_whisper_local_cs,,
Qwen2-Audio-7B-Instruct,0.19891712076314283,0.21342294856199182
whisper_large_v3,,
old_models,,
cascade_whisper_large_v2_gemma2_9b_cpt_sea_lionv3_instruct,0.05796819723943051,0.120421856260385
gemini-1.5-flash,,
WavLLM_fairseq,0.041732965094428545,0.06399522524688675
SALMONN_7B,0.20994052484339956,0.17175112770658157
cascade_whisper_large_v3_llama_3_8b_instruct,0.07953048457785493,0.1388630786594543
